"date","count()"
"2025-01-02",4325
"2025-01-03",4327
"2025-01-06",4327
"2025-01-07",4329
"2025-01-08",4329
"2025-01-09",4330
"2025-01-10",4330
"2025-01-13",4331
"2025-01-14",4333
"2025-01-15",4333
"2025-01-16",4334
"2025-01-17",4335
"2025-01-20",4335
"2025-01-21",4337
"2025-01-22",4338
"2025-01-23",4339
"2025-01-24",4337
"2025-01-27",4337
"2025-02-05",4337
"2025-02-06",4338
"2025-02-07",4338
"2025-02-10",4337
"2025-02-11",4338
"2025-02-12",4338
"2025-02-13",4338
"2025-02-14",4338
"2025-02-17",4342
"2025-02-18",4342
"2025-02-19",4342
"2025-02-20",4342
"2025-02-21",4342
"2025-02-24",4341
"2025-02-25",4340
"2025-02-26",4341
"2025-02-27",4341
"2025-02-28",4341
"2025-03-03",4340
"2025-03-04",4343
"2025-03-05",4342
"2025-03-06",4341
"2025-03-07",4341
"2025-03-10",4340
"2025-03-11",4341
"2025-03-12",4341
"2025-03-13",4341
"2025-03-14",4340
"2025-03-17",4341
"2025-03-18",4343
"2025-03-19",4344
"2025-03-20",4345
"2025-03-21",4345
"2025-03-24",4348
"2025-03-25",4348
"2025-03-26",4348
"2025-03-27",4351
"2025-03-28",4351
"2025-03-31",4352
"2025-04-01",4352
"2025-04-02",4354
"2025-04-03",4354
"2025-04-07",4353
"2025-04-08",4352
"2025-04-09",4353
"2025-04-10",4352
"2025-04-11",4352
"2025-04-14",4350
"2025-04-15",4351
"2025-04-16",4353
"2025-04-17",4354
"2025-04-18",4354
"2025-04-21",4355
"2025-04-22",4356
"2025-04-23",4356
"2025-04-24",4358
"2025-04-25",4360
"2025-04-28",4361
"2025-04-29",4362
"2025-04-30",4356
"2025-05-06",4356
"2025-05-07",4358
"2025-05-08",4359
"2025-05-09",4359
"2025-05-12",4359
"2025-05-13",4359
"2025-05-14",4359
"2025-05-15",4359
"2025-05-16",4359
"2025-05-19",4360
"2025-05-20",4362
"2025-05-21",4360
"2025-05-22",4357
"2025-05-23",4359
"2025-05-26",4359
"2025-05-27",4358
"2025-05-28",4357
"2025-05-29",4359
"2025-05-30",4358
"2025-06-03",4357
"2025-06-04",4361
"2025-06-05",4363
"2025-06-06",4365
"2025-06-09",4363
"2025-06-10",4367
"2025-06-11",4368
"2025-06-12",4368
"2025-06-13",4367
"2025-06-16",4368
"2025-06-17",4369
"2025-06-18",4369
"2025-06-19",4369
"2025-06-20",4371
"2025-06-23",4368
"2025-06-24",4369
"2025-06-25",4369
"2025-06-26",4370
"2025-06-27",4370
"2025-06-30",4369
"2025-07-01",4370
"2025-07-02",4370
"2025-07-03",4370
"2025-07-04",4370
"2025-07-07",4371
"2025-07-08",4368
"2025-07-09",4370
"2025-07-10",4371
"2025-07-11",4371
"2025-07-14",4369
"2025-07-15",4371
"2025-07-16",4372
"2025-07-17",4373
"2025-07-18",4372
"2025-07-21",4371
"2025-07-22",4369
"2025-07-23",4373
"2025-07-24",4373
"2025-07-25",4375
"2025-07-28",4377
"2025-07-29",4377
"2025-07-30",4377
"2025-07-31",4375
"2025-08-01",4375
"2025-08-04",4373
"2025-08-05",4374
"2025-08-06",4376
"2025-08-07",4377
"2025-08-08",4378
"2025-08-11",4380
"2025-08-12",4382
"2025-08-13",4380
"2025-08-14",4381
"2025-08-15",4381
"2025-08-18",4381
"2025-08-19",4381
"2025-08-20",4380
"2025-08-21",4380
"2025-08-22",4379
"2025-08-25",4379
"2025-08-26",4380
"2025-08-27",4382
"2025-08-28",4381
"2025-08-29",4380
"2025-09-01",4379
"2025-09-02",4380
"2025-09-03",4380
"2025-09-04",4380
"2025-09-05",4382
"2025-09-08",4382
"2025-09-09",4381
"2025-09-10",4382
"2025-09-11",4382
"2025-09-12",4382
"2025-09-15",4380
"2025-09-16",4381
"2025-09-17",4381
"2025-09-18",4381
"2025-09-19",4381
"2025-09-22",4381
"2025-09-23",4382
"2025-09-24",4382
"2025-09-25",4383
"2025-09-26",4384
"2025-09-29",4382
"2025-09-30",4384
"2025-10-09",4383
"2025-10-10",4384
"2025-10-13",4384
"2025-10-14",4385
"2025-10-15",4385
"2025-10-16",4386
"2025-10-17",4389
"2025-10-20",4390
"2025-10-21",4389
"2025-10-22",4390
"2025-10-23",4390
"2025-10-24",4391
"2025-10-27",4389
"2025-10-28",4387
"2025-10-29",4388
"2025-10-30",4388
"2025-10-31",4387
"2025-11-03",4388
"2025-11-04",4389
"2025-11-05",4388
"2025-11-06",4389
"2025-11-07",4391
"2025-11-10",4392
"2025-11-11",4392
"2025-11-12",4393
"2025-11-13",4393
"2025-11-14",4392
"2025-11-17",4392
"2025-11-18",4391
"2025-11-19",4393
"2025-11-20",4393
"2025-11-21",4395
"2025-11-24",4394
"2025-11-25",4393
"2025-11-26",4392
"2025-11-27",4392
"2025-11-28",4391
"2025-12-01",4391
"2025-12-02",4393
"2025-12-03",4397
"2025-12-04",4395
"2025-12-05",4392
"2025-12-08",4393
"2025-12-09",4392
"2025-12-10",4389
"2025-12-11",4390
"2025-12-12",4391
"2025-12-15",4392
"2025-12-16",4392
"2025-12-17",4392
"2025-12-18",4393
"2025-12-19",4394
"2025-12-22",4392
"2025-12-23",4393
"2025-12-24",4394
"2025-12-25",4395
"2025-12-26",4397
"2025-12-29",4399
"2025-12-30",4399
"2025-12-31",4402
"2026-01-05",4398
"2026-01-06",4398
"2026-01-07",4399
"2026-01-08",4399
"2026-01-09",4398
"2026-01-12",4398
"2026-01-13",4393
"2026-01-14",4394
"2026-01-15",4396
"2026-01-16",4397
"2026-01-19",4399
"2026-01-20",4403
"2026-01-21",4401
"2026-01-22",4401
"2026-01-23",4402
"2026-01-26",4399
"2026-01-27",4400
"2026-01-28",4399
"2026-01-29",4400
"2026-01-30",4399
"2026-02-02",4401
"2026-02-03",4402
"2026-02-04",4405
"2026-02-05",4404
"2026-02-06",4403
"2026-02-09",4403
"2026-02-10",4405
"2026-02-11",4405
"2026-02-12",4406
"2026-02-13",4404
"2026-02-24",4405
"2026-02-25",4402
